Vertex Materials — Consolidated Financials,FY2024,FY2023
Total revenue,18000 million,16500 million
Gross profit,5400 million,4950 million
Operating income,1800 million,1600 million
Net income,1080 million,950 million
Total assets,28000 million,26000 million
Total current assets,7000 million,6500 million
Total current liabilities,5000 million,4800 million
Total debt,9000 million,8500 million
Total shareholders' equity,9000 million,8200 million
Cash and cash equivalents,1500 million,1300 million
Research and development,540 million,500 million
